description,full-level,filling_level,Time,Ubidots_apilabel,Battery,Distance,Position,lat_long,change-in-volume,collection_peak,collection_off_peak,location_desc,location_area,lat,long,filling_level_map
Old Tourist Office North End,501.0,Medium,2024-03-29T20:25:53+11:00,24e124713d160365,96.0,449.0,0.0,"-36.216308, 150.127557",,"M,T,W,T,F,S,S","M,W,F",Narooma - South,South,-36.216308,150.127557,Medium (<600)
Broulee Opposite Train St #1,918.0,Full,2023-12-31T17:20:03+11:00,24e124713d161070,89.0,32.0,0.0,"-35.844235, 150.17715",0.0,"M,T,W,T,F,S,S x 2","M,W,F,S,S x 2",Broulee - Central,Central,-35.844235,150.17715,Full (>900)
Opposite Bay View Hotel,950.0,Full,2024-06-10T00:44:58+10:00,24e124713d162659,31.0,0.0,0.0,"-35.707182, 150.177844",,"M,T,W,T,F,S,S","M,W,F,S,S",Batemans Bay - NTH,NTH,-35.707182,150.177844,Full (>900)
Broulee Surf Club #4,950.0,Full,2024-02-24T09:17:47+11:00,24e124713d160141,83.0,0.0,0.0,"-35.859551, 150.177135",,"M,T,W,T,F,S,S x 2","M,W,F,S,S x 2",Broulee - Central,Central,-35.859551,150.177135,Full (>900)
Outside Narooma IGA,-64585.0,Low,2024-03-01T07:04:25+11:00,24e124713d160612,100.0,65535.0,0.0,"-36.21439, 150.124771",-19623.0,"M,T,W,T,F,S,S","M,W,F",Narooma - South,South,-36.21439,150.124771,Low (<300)
Outside Katungal Medical Services,500.0,Medium,2024-07-12T17:26:27+10:00,24e124713d162571,63.0,450.0,0.0,"-36.213975, 150.124333",-1.0,"M,T,W,T,F,S,S","M,W,F",Narooma - South,South,-36.213975,150.124333,Medium (<600)
Broulee Candalagan Reserve,282.0,Low,2024-03-29T05:32:29+11:00,24e124713d162398,74.0,668.0,0.0,"-35.841313, 150.179576",,"M,T,W,T,F,S,S x 2","M,W,F,S,S x 2",Broulee - Central,Central,-35.841313,150.179576,Low (<300)
Moruya Main Street Campbell Page,451.0,Medium,2024-08-19T23:52:31+10:00,24e124713c451291,50.0,499.0,0.0,"-35.9089, 150.08103",,"M,T,W,T,F,S,S","M,W,F,S,S",Moruya - Central,Central,-35.9089,150.08103,Medium (<600)
Outside Salt Water Dreaming,-64585.0,Low,2024-08-16T03:45:13+10:00,24e124713d160737,17.0,65535.0,0.0,"-35.705774, 150.177745",,"M,T,W,T,F,S,S","M,W,F,S,S",Batemans Bay - NTH,NTH,-35.705774,150.177745,Low (<300)
Moruya Opposite Health Cafe,266.0,Low,2024-08-26T06:33:15+10:00,24e124713c451149,59.0,684.0,0.0,"-35.90921, 150.08177",-2.0,"M,T,W,T,F,S,S","M,W,F,S,S",Moruya - Central,Central,-35.90921,150.08177,Low (<300)
Opposite NBN Shop,-64585.0,Low,2024-08-17T06:40:59+10:00,24e124713d162467,20.0,65535.0,0.0,"-35.70524, 150.177759",,"M,T,W,T,F,S,S","M,W,F,S,S",Batemans Bay - NTH,NTH,-35.70524,150.177759,Low (<300)
AckWBB3 Pos 5,6.0,Low,2024-09-13T17:07:21+10:00,24e124713c451208,61.0,944.0,0.0,"-35.91793, 150.0801",-5.0,,,Moruya - Central,Central,-35.91793,150.0801,Low (<300)
Outside Auto Pro,-64585.0,Low,2024-03-16T14:11:49+11:00,24e124713d161330,99.0,65535.0,0.0,"-36.21474, 150.125088",,"M,T,W,T,F,S,S","M,W,F",Narooma - South,South,-36.21474,150.125088,Low (<300)
Moruya Main St Court House,552.0,Medium,2024-07-03T10:20:40+10:00,24e124713c450209,82.0,398.0,0.0,"-35.90991, 150.08082",0.0,"M,T,W,T,F,S,S","M,W,F,S,S",Moruya - Central,Central,-35.90991,150.08082,Medium (<600)
North Side Innes Boat Shed,352.0,Medium,2024-06-01T14:18:36+10:00,24e124713d162387,90.0,598.0,0.0,"-35.705479, 150.178025",-3.0,"M,T,W,T,F,S,S","M,W,F,S,S",Batemans Bay - NTH,NTH,-35.705479,150.178025,Medium (<600)
Broulee Carters Store #1,878.0,High,2024-10-07T06:23:37+11:00,24e124713d160011,84.0,72.0,0.0,"-35.853912, 150.176128",0.0,"M,T,W,T,F,S,S x 2","M,W,F,S,S x 2",Broulee - Central,Central,-35.853912,150.176128,High (600 - 900)
Moruya Albert Park Toilet,-229.0,Low,2024-11-14T10:49:04+11:00,24e124713c450534,55.0,1179.0,0.0,"-35.90848, 150.08224",0.0,,,Moruya - Central,Central,-35.90848,150.08224,Low (<300)
Moruya Main St Old Bakery,431.0,Medium,2024-09-22T08:32:39+10:00,24e124713c450747,82.0,519.0,0.0,"-35.910648, 150.08062",-7.0,"M,T,W,T,F,S,S","M,W,F,S,S",Moruya - Central,Central,-35.910648,150.08062,Medium (<600)
Outside BWS Narooma,492.0,Medium,2024-11-12T20:17:10+11:00,24e124713d162519,63.0,458.0,0.0,"-36.216538, 150.127038",,"M,T,W,T,F,S,S","M,W,F",Narooma - South,South,-36.216538,150.127038,Medium (<600)
Bus Stop Opposite Lynch’s Hotel,-64585.0,Low,2024-10-14T20:08:56+11:00,24e124713d162720,34.0,65535.0,0.0,"-36.219054, 150.132277",,"M,T,W,T,F,S,S","M,W,F",Narooma - South,South,-36.219054,150.132277,Low (<300)
Moruya Main Street Monarch Pub,586.0,Medium,2024-08-19T13:12:28+10:00,24e124713c450312,56.0,364.0,0.0,"-35.90926, 150.08109",,"M,T,W,T,F,S,S","M,W,F,S,S",Moruya - Central,Central,-35.90926,150.08109,Medium (<600)
AckWBB3 Pos 1,227.0,Low,2024-11-05T12:44:06+11:00,24e124713c451403,1.0,723.0,0.0,"-35.91782, 150.08012",0.0,,,Moruya - Central,Central,-35.91782,150.08012,Low (<300)
Moruya Swans Takeaway,560.0,Medium,2024-11-22T06:35:20+11:00,24e124713c451980,50.0,390.0,0.0,"-35.90921, 150.08161",-102.0,"M,T,W,T,F,S,S","M,W,F,S,S",Moruya - Central,Central,-35.90921,150.08161,Medium (<600)
AckWBB1 Pos 3,-76.0,Low,2024-11-23T16:34:46+11:00,24e124713c451448,1.0,1026.0,0.0,"-35.91687, 150.08046",-134.0,,,Moruya - Central,Central,-35.91687,150.08046,Low (<300)
Moruya Heads Preddys Wharf #2,-64585.0,Low,2024-11-25T09:39:35+11:00,24e124713d160634,99.0,65535.0,0.0,"-35.911567, 150.131969",,"M,T,W,T,F,S,S","M,W,F,S,S",Moruya - Central,Central,-35.911567,150.131969,Low (<300)
AckWBB1 Pos 4,950.0,Full,2024-11-20T02:18:37+11:00,24e124713c450542,30.0,0.0,0.0,"-35.9169, 150.08041",,,,Moruya - Central,Central,-35.9169,150.08041,Full (>900)
Moruya Albert Park Rotunda,460.0,Medium,2024-11-04T09:03:48+11:00,24e124713c450032,48.0,490.0,0.0,"-35.90837, 150.08189",196.0,"M,T,W,T,F,S,S","M,W,F,S,S",Moruya - Central,Central,-35.90837,150.08189,Medium (<600)
Moruya River Opposite Bowling Club,397.0,Medium,2024-11-13T11:38:15+11:00,24e124713c452532,58.0,553.0,0.0,"-35.90567, 150.07525",-36.0,"M,W,F,S,S","M,W,F",Moruya - Central,Central,-35.90567,150.07525,Medium (<600)
Moruya Main Street Pollys Shop,614.0,High,2024-11-30T10:40:48+11:00,24e124713c450217,55.0,336.0,0.0,"-35.9088, 150.08118",62.0,"M,T,W,T,F,S,S","M,W,F,S,S",Moruya - Central,Central,-35.9088,150.08118,High (600 - 900)
Broulee Opposite Train St #2,892.0,High,2024-12-08T06:12:11+11:00,24e124713d160742,76.0,58.0,0.0,"-35.844256, 150.177134",34.0,"M,T,W,T,F,S,S x 2","M,W,F,S,S x 2",Broulee - Central,Central,-35.844256,150.177134,High (600 - 900)
Moruya River Park Bin 2,272.0,Low,2024-12-07T08:03:58+11:00,24e124713c456104,48.0,678.0,0.0,"-35.90887, 150.08412",-5.0,"M,T,W,T,F,S,S","M,W,F,S,S",Moruya - Central,Central,-35.90887,150.08412,Low (<300)
AckWBB2 Pos 1,54.0,Low,2024-12-05T06:23:28+11:00,24e124713c450197,34.0,896.0,0.0,"-35.9172, 150.08066",5.0,,,Moruya - Central,Central,-35.9172,150.08066,Low (<300)
Edwin Street Park,459.0,Medium,2024-12-12T22:58:29+11:00,24e124713d160527,32.0,491.0,0.0,"-36.215684, 150.129629",-11.0,"M,T,W,T,F,S,S","M,W,F",Narooma - South,South,-36.215684,150.129629,Medium (<600)
Broulee Opposite 49 Coronation Drive #2,512.0,Medium,2024-12-12T23:32:05+11:00,24e124713d160947,53.0,438.0,0.0,"-35.846371, 150.176295",,"M,T,W,T,F,S,S x 2","M,W,F,S,S x 2",Broulee - Central,Central,-35.846371,150.176295,Medium (<600)
Broulee Mc Nee St Beach Access Bin,317.0,Medium,2024-12-12T23:54:56+11:00,24e124713c452899,49.0,633.0,0.0,"-35.85891, 150.17167",-1.0,,,Broulee - Central,Central,-35.85891,150.17167,Medium (<600)
Broulee Shark Bay #2,634.0,High,2024-12-13T01:38:47+11:00,24e124713d160272,71.0,316.0,0.0,"-35.857387, 150.178418",-2.0,"M,T,W,T,F,S,S x 2","M,W,F,S,S x 2",Broulee - Central,Central,-35.857387,150.178418,High (600 - 900)
Narooma  McMIllian Road,950.0,Full,2024-12-13T03:54:01+11:00,24e124713d115407,75.0,0.0,0.0,"-36.218573, 150.121721",,"M,T,W,T,F,S,S","M,W,F",Narooma - South,South,-36.218573,150.121721,Full (>900)
Opp Taylors Boat Shed,616.0,High,2024-12-13T03:56:56+11:00,24e124713d118258,82.0,334.0,0.0,"-36.219305, 150.121856",-1.0,"M,T,W,T,F,S,S","M,W,F",Narooma - South,South,-36.219305,150.121856,High (600 - 900)
North Park Batemans Bay Toilet Block #2,482.0,Medium,2024-12-13T03:50:35+11:00,24e124713d116332,85.0,468.0,0.0,"-35.701698, 150.18042",-1.0,"M,T,W,T,F,S,S","M,W,F,S,S",Batemans Bay - NTH,NTH,-35.701698,150.18042,Medium (<600)
Clyde St Just East & opposite Camera below Bridge,833.0,High,2024-12-13T03:50:57+11:00,24e124713d161279,83.0,117.0,0.0,"-35.703441, 150.176777",-1.0,"M,T,W,T,F,S,S","M,W,F,S,S",Batemans Bay - NTH,NTH,-35.703441,150.176777,High (600 - 900)
Promenade Outside Mariners Hotel,504.0,Medium,2024-12-13T03:51:29+11:00,24e124713d160448,79.0,446.0,0.0,"-35.707976, 150.17909",,"M,T,W,T,F,S,S","M,W,F,S,S",Batemans Bay - NTH,NTH,-35.707976,150.17909,Medium (<600)
Outside Annetts Arcade,512.0,Medium,2024-12-13T03:51:55+11:00,24e124713d160585,83.0,438.0,0.0,"-35.706991, 150.177967",,"M,T,W,T,F,S,S","M,W,F,S,S",Batemans Bay - NTH,NTH,-35.706991,150.177967,Medium (<600)
Traffic Lights Near Village Centre,351.0,Medium,2024-12-13T03:51:57+11:00,24e124713d160319,82.0,599.0,0.0,"-35.705914, 150.176785",1.0,"M,T,W,T,F,S,S","M,W,F,S,S",Batemans Bay - NTH,NTH,-35.705914,150.176785,Medium (<600)
North Park Batemans Bay BBQ Area #2,391.0,Medium,2024-12-13T03:53:33+11:00,24e124713d115569,83.0,559.0,0.0,"-35.70202, 150.180569",0.0,"M,T,W,T,F,S,S","M,W,F,S,S",Batemans Bay - NTH,NTH,-35.70202,150.180569,Medium (<600)
North Park Batemans Bay Bridge #2,502.0,Medium,2024-12-13T03:55:56+11:00,24e124713d118205,85.0,448.0,0.0,"-35.701275, 150.179799",,"M,T,W,T,F,S,S","M,W,F,S,S",Batemans Bay - NTH,NTH,-35.701275,150.179799,Medium (<600)
Stocklands Bus Stop #1,613.0,High,2024-12-13T03:57:39+11:00,24e124713d161207,69.0,337.0,0.0,"-35.707613, 150.176345",,"M,T,W,T,F,S,S","M,W,F,S,S",Batemans Bay - NTH,NTH,-35.707613,150.176345,High (600 - 900)
Outside Golden Dragon Restaurant,504.0,Medium,2024-12-13T03:57:55+11:00,24e124713d162618,83.0,446.0,0.0,"-35.704211, 150.176913",,"M,T,W,T,F,S,S","M,W,F,S,S",Batemans Bay - NTH,NTH,-35.704211,150.176913,Medium (<600)
